"","id",".Tm","Ro.yardsperplayrank","Rd.yardsperplayrank","wl"
"1",2016,"New England Patriots",6,10,1
"2",2015,"Denver Broncos",19,1,1
"3",2014,"New England Patriots",13,11,1
"4",2013,"Seattle Seahawks",9,1,1
"5",2012,"Baltimore Ravens",16,10,1
"6",2011,"New York Giants",7,23,1
"7",2010,"Green Bay Packers",6,9,1
"8",2009,"New Orleans Saints",2,21,1
"9",2008,"Pittsburgh Steelers",24,1,1
"10",2007,"New York Giants",19,8,1
"11",2006,"Indianapolis Colts",2,29,1
"12",2005,"Pittsburgh Steelers",10,2,1
"13",2004,"New England Patriots",9,9,1
"14",2003,"New England Patriots",20,4,1
"15",2002,"Tampa Bay Buccaneers",26,1,1
"16",2001,"New England Patriots",20,21,1
"17",2000,"Baltimore Ravens",21,2,1
"18",1999,"St. Louis Rams",1,7,1
"19",1998,"Denver Broncos",3,12,1
"20",1997,"Denver Broncos",3,14,1
"21",1996,"Green Bay Packers",7,1,1
"22",1995,"Dallas Cowboys",2,13,1
"23",1994,"San Francisco 49ers",1,9,1
"24",1993,"Dallas Cowboys",2,8,1
"25",1992,"Dallas Cowboys",3,2,1
"26",1991,"Washington Redskins",4,3,1
"27",1990,"New York Giants",19,2,1
"28",1989,"San Francisco 49ers",1,6,1
"29",1988,"San Francisco 49ers",4,3,1
"30",1987,"Washington Redskins",2,12,1
"31",1986,"New York Giants",13,8,1
"32",1985,"Chicago Bears",5,2,1
"33",1984,"San Francisco 49ers",2,15,1
"34",1983,"Los Angeles Raiders",12,3,1
"35",1982,"Washington Redskins",12,7,1
"36",1981,"San Francisco 49ers",19,3,1
"37",1980,"Oakland Raiders",18,6,1
"38",1979,"Pittsburgh Steelers",1,2,1
"39",1978,"Pittsburgh Steelers",10,5,1
"40",1977,"Dallas Cowboys",4,1,1
"41",1976,"Oakland Raiders",1,18,1
"42",1975,"Pittsburgh Steelers",4,5,1
"43",1974,"Pittsburgh Steelers",13,1,1
"44",1973,"Miami Dolphins",1,1,1
"45",1972,"Miami Dolphins",2,3,1
"46",1971,"Dallas Cowboys",1,4,1
"47",1970,"Baltimore Colts",9,6,1
"48",1969,"Kansas City Chiefs",10,2,1
"49",1968,"New York Jets",6,4,1
"50",1967,"Green Bay Packers",11,3,1
"51",1966,"Green Bay Packers",9,3,1
"52",2016,"Atlanta Falcons",1,22,0
"53",2015,"Carolina Panthers",13,2,0
"54",2014,"Seattle Seahawks",6,1,0
"55",2013,"Denver Broncos",2,16,0
"56",2012,"San Francisco 49ers",3,3,0
"57",2011,"New England Patriots",3,29,0
"58",2010,"Pittsburgh Steelers",11,1,0
"59",2009,"Indianapolis Colts",3,8,0
"60",2008,"Arizona Cardinals",6,17,0
"61",2007,"New England Patriots",1,7,0
"62",2006,"Chicago Bears",21,2,0
"63",2005,"Seattle Seahawks",2,11,0
"64",2004,"Philadelphia Eagles",6,8,0
"65",2003,"Carolina Panthers",17,7,0
"66",2002,"Oakland Raiders",2,11,0
"67",2001,"St. Louis Rams",1,5,0
"68",2000,"New York Giants",14,6,0
"69",1999,"Tennessee Titans",9,25,0
"70",1998,"Atlanta Falcons",4,14,0
"71",1997,"Green Bay Packers",2,4,0
"72",1996,"New England Patriots",16,17,0
"73",1995,"Pittsburgh Steelers",13,8,0
"74",1994,"San Diego Chargers",9,15,0
"75",1993,"Buffalo Bills",16,17,0
"76",1992,"Buffalo Bills",5,9,0
"77",1991,"Buffalo Bills",2,12,0
"78",1990,"Buffalo Bills",3,5,0
"79",1989,"Denver Broncos",22,3,0
"80",1988,"Cincinnati Bengals",1,11,0
"81",1987,"Denver Broncos",6,20,0
"82",1986,"Denver Broncos",12,11,0
"83",1985,"New England Patriots",9,5,0
"84",1984,"Miami Dolphins",1,19,0
"85",1983,"Washington Redskins",4,24,0
"86",1982,"Miami Dolphins",19,1,0
"87",1981,"Cincinnati Bengals",2,14,0
"88",1980,"Philadelphia Eagles",5,1,0
"89",1979,"Los Angeles Rams",18,4,0
"90",1978,"Dallas Cowboys",2,4,0
"91",1977,"Denver Broncos",17,4,0
"92",1976,"Minnesota Vikings",13,10,0
"93",1975,"Dallas Cowboys",5,6,0
"94",1974,"Minnesota Vikings",5,11,0
"95",1973,"Minnesota Vikings",8,13,0
"96",1972,"Washington Redskins",4,4,0
"97",1971,"Miami Dolphins",3,7,0
"98",1970,"Dallas Cowboys",4,2,0
"99",1969,"Minnesota Vikings",19,1,0
"100",1968,"Baltimore Colts",5,3,0
"101",1967,"Oakland Raiders",6,1,0
"102",1966,"Kansas City Chiefs",1,7,0
